DATE,WLEMUINDXD
1/1/2008,149.95
2/1/2008,97.01
3/1/2008,12.12
4/1/2008,45.17
5/1/2008,143.82
6/1/2008,68.94
7/1/2008,64.25
8/1/2008,17
9/1/2008,74.77
10/1/2008,77.44
11/1/2008,76.18
12/1/2008,97
13/1/2008,32.59
14/1/2008,51.75
15/1/2008,186.88
16/1/2008,6.32
17/1/2008,25.14
18/1/2008,186.46
19/1/2008,66.35
20/1/2008,64.88
21/1/2008,290.51
22/1/2008,442.72
23/1/2008,195.28
24/1/2008,70.15
25/1/2008,158.53
26/1/2008,210.43
27/1/2008,104.12
28/1/2008,345.99
29/1/2008,124.66
30/1/2008,159.58
31/1/2008,15.13
1/2/2008,92.13
2/2/2008,92.88
3/2/2008,53.7
4/2/2008,41.56
5/2/2008,81.46
6/2/2008,24.15
7/2/2008,37.07
8/2/2008,68.25
9/2/2008,185.64
10/2/2008,38.72
11/2/2008,72.35
12/2/2008,91.66
13/2/2008,189.85
14/2/2008,55.48
15/2/2008,31.89
16/2/2008,62.58
17/2/2008,122.28
18/2/2008,94.76
19/2/2008,24.64
20/2/2008,30.51
21/2/2008,60.66
22/2/2008,19.62
23/2/2008,63.61
24/2/2008,31.11
25/2/2008,10.06
26/2/2008,161.98
27/2/2008,18.03
28/2/2008,10.07
29/2/2008,50.86
1/3/2008,44.76
2/3/2008,15.52
3/3/2008,30.5
4/3/2008,92.27
5/3/2008,90.79
6/3/2008,75.68
7/3/2008,13.02
8/3/2008,101.16
9/3/2008,15.63
10/3/2008,20.78
11/3/2008,7.88
12/3/2008,12.76
13/3/2008,10.09
14/3/2008,12.99
15/3/2008,18.42
16/3/2008,40.02
17/3/2008,252.58
18/3/2008,149.64
19/3/2008,62.35
20/3/2008,63.05
21/3/2008,280.8
22/3/2008,60.57
23/3/2008,72.74
24/3/2008,15.76
25/3/2008,57.44
26/3/2008,25.24
27/3/2008,45.46
28/3/2008,27.63
29/3/2008,88.05
30/3/2008,60.62
31/3/2008,49.88
1/4/2008,57.48
2/4/2008,89.68
3/4/2008,9.79
4/4/2008,26.62
5/4/2008,28.97
6/4/2008,8.04
7/4/2008,30.51
