DATE,USEPUINDXD
2008-01-01,232.87000
2008-01-02,83.14000
2008-01-03,189.34000
2008-01-04,103.24000
2008-01-05,281.75000
2008-01-06,134.58000
2008-01-07,81.57000
2008-01-08,142.48000
2008-01-09,123.42000
2008-01-10,110.12000
2008-01-11,232.13000
2008-01-12,162.58000
2008-01-13,155.17000
2008-01-14,118.27000
2008-01-15,110.01000
2008-01-16,173.22000
2008-01-17,99.60000
2008-01-18,98.93000
2008-01-19,252.75000
2008-01-20,157.56000
2008-01-21,155.74000
2008-01-22,244.35000
2008-01-23,360.30000
2008-01-24,194.68000
2008-01-25,158.51000
2008-01-26,153.02000
2008-01-27,216.61000
2008-01-28,287.54000
2008-01-29,421.02000
2008-01-30,184.70000
2008-01-31,224.70000
2008-02-01,167.94000
2008-02-02,106.14000
2008-02-03,204.54000
2008-02-04,185.99000
2008-02-05,111.71000
2008-02-06,110.39000
2008-02-07,108.91000
2008-02-08,67.59000
2008-02-09,84.85000
2008-02-10,117.98000
2008-02-11,208.67000
2008-02-12,203.14000
2008-02-13,61.36000
2008-02-14,90.29000
2008-02-15,123.89000
2008-02-16,102.15000
2008-02-17,122.26000
2008-02-18,76.20000
2008-02-19,147.05000
2008-02-20,116.21000
2008-02-21,73.17000
2008-02-22,134.50000
2008-02-23,72.69000
2008-02-24,88.87000
2008-02-25,107.27000
2008-02-26,70.95000
2008-02-27,139.63000
2008-02-28,76.74000
2008-02-29,142.87000
2008-03-01,129.57000
2008-03-02,65.04000
2008-03-03,89.06000
2008-03-04,120.08000
2008-03-05,85.30000
2008-03-06,94.16000
2008-03-07,71.91000
2008-03-08,63.05000
2008-03-09,77.41000
2008-03-10,35.62000
2008-03-11,72.04000
2008-03-12,75.36000
2008-03-13,94.21000
2008-03-14,69.27000
2008-03-15,98.21000
2008-03-16,94.52000
2008-03-17,146.24000
2008-03-18,319.82000
2008-03-19,376.02000
2008-03-20,129.08000
2008-03-21,114.25000
2008-03-22,134.58000
2008-03-23,237.49000
2008-03-24,72.04000
2008-03-25,94.80000
2008-03-26,136.50000
2008-03-27,89.06000
2008-03-28,154.34000
2008-03-29,39.64000
2008-03-30,323.27000
2008-03-31,76.00000
2008-04-01,168.90000
2008-04-02,141.52000
2008-04-03,106.25000
2008-04-04,70.98000
2008-04-05,88.27000
2008-04-06,128.64000
2008-04-07,89.09000
2008-04-08,73.85000
2008-04-09,71.58000
2008-04-10,80.43000
2008-04-11,94.47000
2008-04-12,104.78000
2008-04-13,148.03000
2008-04-14,79.50000
2008-04-15,119.20000
2008-04-16,85.36000
2008-04-17,90.72000
2008-04-18,28.76000
2008-04-19,50.34000
2008-04-20,250.90000
2008-04-21,149.86000
2008-04-22,68.72000
2008-04-23,58.26000
2008-04-24,50.58000
2008-04-25,67.92000
2008-04-26,201.08000
2008-04-27,111.96000
2008-04-28,88.62000
2008-04-29,64.67000
2008-04-30,80.74000
2008-05-01,154.45000
2008-05-02,78.45000
2008-05-03,67.38000
2008-05-04,85.56000
2008-05-05,77.59000
2008-05-06,116.49000
2008-05-07,97.19000
2008-05-08,50.12000
2008-05-09,76.49000
2008-05-10,58.31000
2008-05-11,91.00000
2008-05-12,98.62000
2008-05-13,55.77000
2008-05-14,130.43000
2008-05-15,159.26000
2008-05-16,110.23000
2008-05-17,116.81000
2008-05-18,111.29000
2008-05-19,72.05000
2008-05-20,49.07000
2008-05-21,63.32000
2008-05-22,74.84000
2008-05-23,30.21000
2008-05-24,78.36000
2008-05-25,104.59000
2008-05-26,69.22000
2008-05-27,58.15000
2008-05-28,112.84000
2008-05-29,57.45000
2008-05-30,50.64000
2008-05-31,70.58000
2008-06-01,172.73000
2008-06-02,175.25000
2008-06-03,97.33000
2008-06-04,72.21000
2008-06-05,96.16000
2008-06-06,69.54000
2008-06-07,199.69000
2008-06-08,88.50000
2008-06-09,64.46000
2008-06-10,99.68000
2008-06-11,83.44000
2008-06-12,126.07000
2008-06-13,59.79000
2008-06-14,64.65000
2008-06-15,92.88000
2008-06-16,82.24000
2008-06-17,103.47000
2008-06-18,58.83000
2008-06-19,66.47000
2008-06-20,53.68000
2008-06-21,66.23000
2008-06-22,142.39000
2008-06-23,171.46000
2008-06-24,135.64000
2008-06-25,126.57000
2008-06-26,84.23000
2008-06-27,42.74000
2008-06-28,51.98000
2008-06-29,122.11000
2008-06-30,84.01000
2008-07-01,145.73000
2008-07-02,72.47000
2008-07-03,77.92000
2008-07-04,139.91000
2008-07-05,107.46000
2008-07-06,154.49000
2008-07-07,82.22000
2008-07-08,223.53000
2008-07-09,131.56000
2008-07-10,53.88000
2008-07-11,107.95000
2008-07-12,82.80000
2008-07-13,61.29000
2008-07-14,49.10000
2008-07-15,195.94000
2008-07-16,285.23000
2008-07-17,77.94000
2008-07-18,82.75000
2008-07-19,78.32000
2008-07-20,132.63000
2008-07-21,86.14000
2008-07-22,61.37000
2008-07-23,123.09000
2008-07-24,81.76000
2008-07-25,73.65000
2008-07-26,65.19000
2008-07-27,75.57000
2008-07-28,43.06000
2008-07-29,64.12000
2008-07-30,71.61000
2008-07-31,65.51000
2008-08-01,79.10000
2008-08-02,54.42000
2008-08-03,89.64000
2008-08-04,79.26000
2008-08-05,73.11000
2008-08-06,74.81000
2008-08-07,39.49000
2008-08-08,55.52000
2008-08-09,66.14000
2008-08-10,32.29000
2008-08-11,86.48000
2008-08-12,43.65000
2008-08-13,91.02000
2008-08-14,92.16000
2008-08-15,86.80000
2008-08-16,110.20000
2008-08-17,90.91000
2008-08-18,70.39000
2008-08-19,65.92000
2008-08-20,50.12000
2008-08-21,51.60000
2008-08-22,82.71000
2008-08-23,355.54000
