date,ind_prod_goods,bill_rates,equity_mkt_vol,unemployment,equity_mkt_uncertainty,equity_policy_uncertainty,ETF_GLD
2008-01-02,108.86542903225806,3.18,0.47000,4.996774193548387,97.01,83.14,84.86000061035156
2008-01-03,108.86025806451612,3.16,0.36000,4.993548387096774,12.12,189.34,85.56999969482422
2008-01-04,108.85508709677418,3.12,0.00000,4.990322580645161,45.17,103.24,85.12999725341797
2008-01-07,108.8395741935484,3.19,0.00000,4.980645161290322,64.25,81.57,84.7699966430664
2008-01-08,108.83440322580644,3.17,0.50000,4.97741935483871,17.0,142.48,86.77999877929688
2008-01-09,108.82923225806452,3.14,0.37000,4.974193548387097,74.77,123.42,86.55000305175781
2008-01-10,108.82406129032258,3.16,0.30000,4.970967741935484,77.44,110.12,88.25
2008-01-11,108.81889032258064,3.02,0.00000,4.967741935483871,76.18,232.13,88.58000183105469
2008-01-14,108.80337741935485,3.11,0.00000,4.958064516129032,51.75,118.27,89.54000091552734
2008-01-15,108.7982064516129,3.09,0.00000,4.95483870967742,186.88,110.01,87.98999786376953
2008-01-16,108.79303548387097,3.06,0.00000,4.951612903225807,6.32,173.22,86.69999694824219
2008-01-17,108.78786451612903,3.0,0.00000,4.948387096774193,25.14,99.6,86.5
2008-01-18,108.7826935483871,2.79,0.39000,4.945161290322581,186.46,98.93,87.41999816894531
2008-01-22,108.76200967741936,2.3,2.65000,4.932258064516129,442.72,244.35,88.16999816894531
2008-01-23,108.75683870967742,2.16,1.43000,4.929032258064517,195.28,360.3,87.88999938964844
2008-01-24,108.75166774193548,2.32,1.47000,4.925806451612903,70.15,194.68,90.08000183105467
2008-01-25,108.74649677419356,2.25,0.39000,4.922580645161291,158.53,158.51,90.3000030517578
2008-01-28,108.73098387096776,2.29,0.61000,4.912903225806452,345.99,287.54,91.75
2008-01-29,108.72581290322582,2.23,0.00000,4.909677419354839,124.66,421.02,91.1500015258789
2008-01-30,108.72064193548388,2.16,1.08000,4.9064516129032265,159.58,184.7,92.05999755859376
2008-01-31,108.71547096774194,1.92,0.00000,4.903225806451613,15.13,224.7,91.4000015258789
2008-02-01,108.7103,2.06,0.00000,4.9,92.13,167.94,89.3499984741211
2008-02-04,108.54992413793104,2.22,0.00000,4.920689655172414,41.56,185.99,89.0999984741211
2008-02-05,108.49646551724138,2.14,0.48000,4.927586206896552,81.46,111.71,87.68000030517578
2008-02-06,108.44300689655172,2.05,0.00000,4.93448275862069,24.15,110.39,88.94999694824219
2008-02-07,108.38954827586208,2.12,0.00000,4.941379310344828,37.07,108.91,89.8499984741211
2008-02-08,108.33608965517242,2.18,0.00000,4.948275862068965,68.25,67.59,91.0
2008-02-11,108.17571379310344,2.25,0.00000,4.968965517241379,72.35,208.67,91.33000183105467
2008-02-12,108.1222551724138,2.25,0.49000,4.975862068965517,91.66,203.14,89.33000183105469
2008-02-13,108.06879655172412,2.22,0.00000,4.982758620689655,189.85,61.36,89.44000244140625
2008-02-14,108.01533793103448,2.26,1.18000,4.989655172413793,55.48,90.29,89.70999908447266
2008-02-15,107.96187931034484,2.16,1.12000,4.996551724137931,31.89,123.89,89.1500015258789
2008-02-19,107.7480448275862,2.23,0.00000,5.024137931034483,24.64,147.05,91.58000183105467
2008-02-20,107.69458620689656,2.2,0.00000,5.031034482758621,30.51,116.21,93.23999786376952
2008-02-21,107.64112758620688,2.15,0.30000,5.037931034482758,60.66,73.17,93.25
2008-02-22,107.58766896551724,2.15,0.00000,5.044827586206896,19.62,134.5,93.38999938964844
2008-02-25,107.42729310344828,2.15,0.00000,5.06551724137931,10.06,107.27,92.73999786376952
2008-02-26,107.37383448275862,2.09,1.42000,5.072413793103448,161.98,70.95,93.70999908447266
2008-02-27,107.32037586206896,1.94,0.00000,5.079310344827586,18.03,139.63,94.77999877929688
2008-02-28,107.2669172413793,1.86,0.59000,5.086206896551724,10.07,76.74,95.98999786376952
2008-02-29,107.21345862068964,1.81,0.75000,5.093103448275862,50.86,142.87,96.18000030517578
2008-03-03,107.11609032258065,1.67,0.60000,5.0935483870967735,30.5,89.06,97.23999786376952
2008-03-04,107.09413548387096,1.63,1.35000,5.090322580645161,92.27,120.08,95.18000030517578
2008-03-05,107.07218064516128,1.5,0.00000,5.087096774193548,90.79,85.3,97.72000122070312
2008-03-06,107.0502258064516,1.37,0.59000,5.083870967741936,75.68,94.16,96.5
2008-03-07,107.02827096774192,1.42,0.38000,5.080645161290322,13.02,71.91,96.08999633789062
2008-03-10,106.9624064516129,1.33,0.00000,5.070967741935483,20.78,35.62,95.87000274658205
2008-03-11,106.94045161290322,1.45,0.46000,5.067741935483871,7.88,72.04,95.98999786376952
2008-03-12,106.91849677419354,1.45,1.12000,5.064516129032258,12.76,75.36,97.01000213623048
2008-03-13,106.89654193548388,1.33,1.48000,5.061290322580645,10.09,94.21,98.33999633789062
2008-03-14,106.8745870967742,1.16,0.76000,5.058064516129032,12.99,69.27,98.70999908447266
2008-03-17,106.80872258064517,1.09,1.18000,5.048387096774193,252.58,146.24,99.16999816894533
2008-03-18,106.78676774193548,0.91,0.00000,5.04516129032258,149.64,319.82,96.5
2008-03-19,106.7648129032258,0.6,0.00000,5.041935483870968,62.35,376.02,93.04000091552734
2008-03-20,106.74285806451611,0.62,0.46000,5.038709677419354,63.05,129.08,89.91000366210938
